kidflag,race,smartphone,census_region,rwrkst,educat,inccat,marcat,agecat,wrk12mos,male
1,Black,1,South,1,2,2,4,2,6,0
1,Black,1,South,0,1,1,4,2,0,0
0,Black,0,South,0,1,2,4,2,5,0
0,Black,1,South,1,3,1,4,2,12,0
1,Black,0,South,1,2,2,4,2,12,0
0,Black,1,South,1,2,2,4,3,12,0
1,Black,1,South,1,2,1,4,2,12,0
1,Black,1,South,1,1,1,4,2,6,0
1,Black,0,South,0,2,1,3,2,6,0
1,Black,0,South,1,2,1,3,2,12,0
1,Black,1,South,0,1,1,4,3,0,0
1,Black,1,South,0,2,1,4,3,7,0
1,Black,1,South,0,1,1,4,1,1,0
0,Black,1,South,1,3,1,2,3,9,0
1,Black,0,South,0,2,1,4,2,0,0
1,Black,1,South,0,1,1,4,2,6,0
1,Black,1,South,1,1,1,4,2,3,0
1,Black,1,South,1,2,1,3,2,8,0
0,Black,1,South,0,1,1,4,2,3,0
1,Black,1,South,1,2,1,4,2,2,0
1,Black,1,South,1,2,2,3,3,12,0
1,Black,1,South,0,1,1,4,3,0,0
0,Black,1,South,1,3,1,2,3,12,0
1,Black,1,South,1,3,2,4,3,5,0
1,Other,1,South,0,1,2,4,1,0,0
0,Other,1,South,1,4,3,1,2,3,0
0,Other,1,South,1,3,3,4,2,12,0
1,Other,1,South,1,3,1,2,3,12,0
0,Black,1,South,1,3,2,3,2,12,0
1,Black,1,South,1,2,1,4,2,12,0
1,Black,1,South,0,3,1,4,3,4,0
0,Black,1,South,1,3,1,4,2,12,0
1,Black,1,South,0,3,1,2,3,0,0
1,Black,1,South,1,3,1,4,3,12,0
1,Black,1,South,0,4,2,4,3,12,0
0,Black,1,South,1,4,1,4,3,1,0
1,Other,1,South,1,3,2,4,3,12,0
0,Black,1,South,1,4,2,4,2,9,0
0,Black,1,South,1,3,1,4,2,12,0
1,Other,1,South,0,1,2,1,2,0,0
0,Black,1,South,1,2,1,4,3,1,0
0,Other,1,South,1,2,2,3,2,0,0
1,Black,1,South,0,1,1,4,1,0,0
1,Other,1,South,0,3,3,1,2,11,0
1,Other,1,South,1,3,2,1,3,1,0
1,Black,1,South,1,4,3,1,3,12,0
0,Other,1,South,1,4,3,1,2,12,0
0,Black,1,South,1,3,3,4,2,12,0
0,Black,1,South,1,4,1,4,2,12,0
1,Black,1,South,1,4,2,4,3,12,0
0,Other,1,South,1,3,2,3,2,12,0
1,Black,0,South,1,1,1,3,3,1,0
0,Black,0,South,0,2,1,3,3,0,0
0,Black,1,South,1,3,2,4,3,12,0
0,Other,1,South,1,4,3,1,3,12,0
0,Other,1,South,0,3,1,4,2,0,0
0,Black,1,South,1,3,3,4,2,12,0
0,Black,1,South,0,4,1,4,2,0,0
0,Other,1,South,0,4,1,4,2,9,0
0,Black,1,South,1,4,1,4,2,12,0
0,Hisp,1,South,0,4,1,4,2,10,0
0,Black,1,South,1,3,2,2,2,12,0
0,Other,1,South,1,3,1,4,2,12,0
0,Hisp,1,South,1,4,3,1,3,12,0
0,Black,1,South,1,3,2,4,3,12,0
0,Other,1,South,1,4,3,3,2,12,0
0,Other,1,South,1,4,2,4,2,12,0
0,Other,1,South,1,4,2,3,2,12,0
0,Other,1,South,0,4,2,3,2,12,0
0,Other,1,South,1,4,3,1,2,12,0
0,Other,1,South,0,4,1,4,2,0,0
0,Other,1,South,1,4,1,4,2,10,0
0,Other,1,South,1,4,2,4,2,3,0
1,Other,1,South,1,4,3,1,3,12,0
0,Other,1,South,1,2,2,1,3,12,0
0,Other,0,South,0,1,1,4,3,0,0
0,Black,0,South,1,2,2,4,3,12,0
0,Other,1,South,0,1,3,4,1,0,0
0,Black,1,South,0,2,2,1,3,6,0
0,Hisp,1,South,0,3,2,4,1,5,0
0,Other,1,South,0,1,3,4,1,9,0
0,Other,1,South,0,2,3,4,1,0,0
1,Other,0,South,0,1,1,4,1,0,0
1,Other,1,South,1,3,2,3,3,12,0
1,Other,1,South,0,1,1,4,1,0,0
1,Other,0,South,0,3,3,1,3,0,0
1,Other,1,South,1,3,1,2,2,2,0
1,Black,0,South,1,2,1,1,3,1,0
0,Black,1,South,1,3,2,4,3,12,0
1,Black,1,South,0,3,2,3,3,0,0
1,Other,0,South,1,3,2,3,2,12,0
0,Black,1,South,0,3,2,4,2,2,0
1,Black,1,South,1,2,1,4,3,12,0
1,Other,1,South,1,3,1,4,2,12,0
1,Other,1,South,1,1,2,1,3,9,0
0,Other,1,South,1,3,2,4,2,7,0
0,Black,1,South,0,3,2,4,2,1,0
0,Other,1,South,1,2,3,4,1,9,0
1,Black,0,South,0,3,1,2,2,3,0
0,Other,1,South,1,3,3,3,2,12,0
0,Other,1,South,1,2,1,4,2,12,0
1,Black,1,South,1,3,2,3,2,12,0
1,Black,1,South,1,3,3,1,3,12,0
0,Black,1,South,0,1,1,2,3,0,0
1,Black,1,South,1,1,1,4,3,12,0
1,Black,1,South,0,2,1,4,2,0,0
1,Black,1,South,1,1,1,4,3,12,0
0,Hisp,1,South,0,1,2,3,3,0,0
0,Hisp,1,South,1,1,1,4,3,1,0
1,Hisp,1,South,0,1,1,2,2,9,0
1,Other,1,South,1,3,2,2,3,12,0
0,Other,1,South,0,2,2,1,2,0,0
1,Other,1,South,0,1,1,1,2,0,0
0,Black,1,South,0,3,2,4,2,3,0
1,Other,1,South,1,3,2,4,3,12,0
1,Black,0,South,1,1,2,1,3,12,0
1,Other,1,South,1,3,1,2,3,9,0
1,Black,0,South,0,2,1,4,2,0,0
0,Other,1,South,1,2,2,2,3,12,0
0,Other,1,South,0,3,3,4,2,0,0
0,Other,1,South,0,3,1,3,3,4,0
0,Other,0,South,1,1,1,4,2,12,0
0,Black,1,South,1,3,2,2,3,12,0
0,Black,0,South,0,3,1,4,2,2,0
1,Black,0,South,0,1,1,4,2,2,0
1,Black,1,South,0,1,1,4,2,0,0
1,Black,1,South,0,1,1,2,3,0,0
1,Black,1,South,0,3,1,4,3,0,0
0,Black,1,South,1,1,2,4,2,12,0
1,Black,1,South,0,2,3,4,1,0,0
0,Black,1,South,1,2,1,4,2,9,0
1,Black,1,South,1,3,2,4,2,6,0
0,Black,1,South,1,3,1,2,3,12,0
0,Black,1,South,1,2,1,4,2,12,0
1,Black,0,South,0,2,1,2,3,8,0
1,Black,1,South,1,4,2,4,3,3,0
0,Other,1,South,0,2,3,4,1,0,0
1,Other,1,South,1,4,3,1,3,12,0
0,Black,1,South,1,3,3,4,2,12,0
1,Other,1,South,1,4,3,1,3,12,0
1,Other,1,South,0,2,2,1,2,2,0
1,Other,1,South,1,4,3,2,3,10,0
1,Other,1,South,1,1,3,4,1,7,0
1,Other,1,South,1,4,2,1,3,12,0
1,Other,1,South,1,2,2,1,3,12,0
1,Black,0,South,1,4,1,1,3,0,0
1,Black,1,South,0,2,1,4,2,6,0
1,Black,1,South,0,1,1,4,2,3,0
1,Other,1,South,0,2,1,2,2,0,0
0,Other,0,South,1,2,2,4,2,12,0
1,Other,0,South,1,1,2,1,2,12,0
1,Other,1,South,1,3,2,2,3,3,0
1,Other,1,South,1,4,3,1,3,12,0
1,Black,1,South,1,2,1,2,3,4,0
0,Other,0,West,1,4,2,4,3,12,0
1,Other,1,West,0,4,2,1,2,0,0
0,Other,1,West,0,2,2,4,1,10,0
0,Other,1,West,1,4,1,4,2,6,0
0,Other,1,West,1,2,2,4,2,12,0
0,Other,0,West,1,4,3,3,3,12,0
1,Other,1,West,1,4,3,1,3,12,0
0,Other,1,West,1,4,3,1,3,12,0
1,Other,1,West,1,2,3,1,3,12,0
1,Other,1,West,0,4,2,1,3,0,0
1,Other,1,West,1,3,3,1,3,12,0
1,Other,1,West,1,4,2,1,3,0,0
1,Other,1,West,0,3,2,4,2,5,0
0,Other,1,West,1,2,2,4,2,12,0
1,Other,1,West,1,2,1,1,2,1,0
0,Other,1,West,1,3,2,3,2,12,0
0,Hisp,1,West,1,3,3,1,2,12,0
0,Other,1,West,1,3,2,1,3,12,0
1,Other,1,West,1,2,2,3,3,5,0
0,Other,1,West,0,1,1,4,1,0,0
0,Other,0,West,1,3,2,4,2,12,0
1,Other,0,West,0,1,2,4,1,0,0
1,Other,0,West,0,3,1,4,2,0,0
1,Other,0,West,0,2,1,4,2,0,0
1,Other,0,West,0,2,1,1,2,1,0
1,Other,1,West,0,3,1,4,1,0,0
1,Other,1,West,0,2,1,3,2,3,0
1,Other,0,West,0,1,1,4,1,0,0
1,Other,0,West,0,3,1,1,2,0,0
1,Other,0,West,0,4,1,4,3,4,0
0,Other,0,West,1,2,2,4,3,12,0
1,Other,0,West,1,2,3,1,3,1,0
1,Other,0,West,0,3,1,3,3,0,0
0,Other,0,West,1,2,2,3,3,6,0
1,Other,0,West,0,2,1,4,2,0,0
0,Other,0,West,1,2,1,4,3,12,0
1,Other,0,West,0,1,1,4,1,0,0
1,Other,0,West,0,1,1,2,3,12,0
1,Other,1,West,0,2,1,4,2,6,0
0,Other,0,West,1,2,2,4,3,9,0
1,Other,0,West,1,3,2,3,2,12,0
1,Other,0,West,0,1,1,4,1,0,0
0,Other,0,West,0,3,3,3,3,0,0
0,Other,0,West,0,1,3,4,2,0,0
1,Other,0,West,0,3,1,2,3,0,0
1,Other,0,West,0,4,1,2,3,0,0
1,Other,0,West,0,1,1,4,1,0,0
1,Other,0,West,0,2,1,4,3,2,0
1,Other,0,West,0,1,3,4,1,1,0
1,Other,0,West,0,3,1,3,2,3,0
1,Other,1,West,1,4,2,4,3,12,0
1,Other,1,West,1,3,2,4,3,10,0
1,Other,1,West,1,3,2,1,3,11,0
1,Other,1,West,0,1,3,4,1,0,0
1,Other,0,West,0,1,1,4,1,0,0
0,Other,1,West,1,3,3,4,3,12,0
1,Other,0,West,0,1,1,4,3,0,0
1,Other,0,West,0,1,1,4,1,0,0
1,Other,0,West,0,1,1,4,3,0,0
0,Other,0,West,1,4,2,4,2,12,0
1,Other,1,West,0,2,2,4,1,0,0
0,Other,0,West,1,4,2,4,2,12,0
0,Other,0,West,0,2,2,4,1,0,0
1,Other,1,West,0,2,2,4,1,0,0
0,Other,0,West,1,1,2,4,3,12,0
1,Other,1,West,1,3,1,3,3,12,0
0,Other,1,West,1,3,1,4,2,1,0
1,Other,0,West,1,3,2,1,3,12,0
1,Other,0,West,0,1,1,4,1,0,0
1,Other,0,West,0,2,2,3,3,0,0
1,Other,0,West,1,3,2,3,3,12,0
0,Other,0,West,1,3,3,3,3,12,0
0,Other,0,West,0,3,2,4,2,0,0
1,Other,1,West,0,3,3,2,2,12,0
1,Other,1,West,0,1,1,4,1,0,0
1,Other,1,West,1,3,2,3,3,12,0
1,Other,1,West,1,4,3,4,3,8,0
0,Other,0,West,0,1,2,4,1,0,0
1,Other,1,West,1,4,2,3,3,12,0
1,Hisp,0,West,0,4,2,3,2,12,0
1,Other,1,West,0,3,3,2,3,12,0
0,Other,0,West,0,2,1,4,3,3,0
1,Other,0,West,0,3,2,4,2,1,0
0,Other,0,West,0,2,1,4,1,0,0
0,Other,0,West,0,2,1,4,3,0,0
1,Other,0,West,0,2,3,4,2,0,0
1,Other,0,West,0,2,2,1,3,12,0
1,Hisp,1,West,1,1,1,4,1,12,0
1,Other,1,West,1,3,2,2,3,12,0
1,Other,1,West,1,4,2,1,3,8,0
1,Other,1,West,1,3,2,1,3,12,0
1,Other,0,West,0,3,2,1,3,0,0
1,Hisp,1,West,1,2,3,1,2,12,0
1,Hisp,0,West,1,2,1,2,2,12,0
1,Other,0,West,1,4,2,2,3,12,0
1,Other,1,West,0,3,2,1,3,0,0
1,Other,1,West,1,1,2,4,1,5,0
0,Other,1,West,0,2,1,1,3,0,0
1,Hisp,1,West,1,3,1,2,3,6,0
1,Other,1,West,0,3,2,1,3,0,0
1,Hisp,0,West,0,4,3,1,3,0,0
1,Other,1,West,1,4,3,1,3,12,0
1,Other,1,West,1,3,3,1,2,3,0
1,Other,1,West,1,3,3,4,3,12,0
0,Other,1,West,1,3,1,2,2,12,0
0,Other,1,West,1,3,2,3,3,12,0
1,Other,1,West,0,3,1,4,1,6,0
1,Other,1,West,1,4,3,1,3,10,0
1,Hisp,1,West,1,3,1,1,2,1,0
0,Other,1,West,1,4,3,3,3,12,0
0,Other,1,West,0,1,1,4,1,1,0
0,Other,1,West,1,3,3,1,2,12,0
1,Other,0,West,1,3,2,3,3,11,0
1,Other,1,West,1,4,2,1,3,12,0
0,Other,1,West,1,4,1,4,2,12,0
0,Other,1,West,1,4,2,1,2,12,0
1,Other,1,West,0,2,1,4,1,3,0
0,Other,1,West,1,4,3,1,2,12,0
1,Other,1,West,0,2,2,1,3,0,0
0,Other,1,West,1,2,2,4,1,12,0
0,Other,1,West,1,3,2,4,2,7,0
0,Other,1,West,0,3,3,4,2,12,0
1,Other,1,West,1,4,1,2,3,12,0
0,Other,1,West,0,3,1,4,2,4,0
1,Other,1,West,1,4,3,1,3,12,0
1,Other,1,West,1,4,3,1,3,9,0
1,Other,1,West,1,4,2,4,3,12,0
1,Other,1,West,0,4,3,1,3,3,0
1,Black,1,West,1,4,2,3,3,12,0
1,Other,1,West,0,4,3,3,2,3,0
1,Other,1,West,1,2,2,3,3,12,0
1,Other,1,West,1,1,2,1,3,12,0
1,Other,1,West,1,3,2,3,3,12,0
1,Other,1,West,1,2,1,1,2,12,0
0,Other,1,West,1,4,3,4,2,5,0
1,Other,1,West,1,2,2,1,2,12,0
1,Other,1,West,0,3,3,4,3,10,0
0,Other,1,West,1,3,3,4,3,12,0
1,Other,1,West,1,3,3,3,3,4,0
1,Other,0,West,1,1,2,4,1,1,0
0,Other,1,West,1,4,2,3,2,12,0
0,Other,1,West,0,1,2,4,1,2,0
0,Other,1,West,0,4,2,1,2,7,0
0,Other,1,West,0,4,1,4,2,10,0
0,Other,1,West,1,4,2,3,2,12,0
1,Other,1,West,1,3,1,3,3,4,0
1,Hisp,1,West,1,3,2,1,3,12,0
0,Hisp,1,West,1,4,3,4,3,12,0
1,Hisp,1,West,1,3,2,3,2,12,0
0,Other,1,West,0,3,2,3,3,3,0
1,Other,1,West,1,2,2,3,3,12,0
1,Other,1,West,0,1,2,4,1,0,0
0,Other,0,West,0,3,1,4,3,3,0
1,Hisp,1,West,1,2,1,2,3,12,0
1,Other,1,West,0,4,3,3,2,5,0
1,Other,1,West,0,3,1,1,3,0,0
1,Other,0,West,1,4,3,1,3,12,0
0,Other,1,West,1,4,1,4,2,12,0
1,Other,1,West,0,3,3,1,3,0,0
1,Other,1,West,1,3,2,1,3,12,0
1,Other,1,West,0,3,2,2,3,0,0
0,Other,1,West,1,4,2,3,3,12,0
0,Other,1,West,0,1,2,4,1,0,0
1,Other,1,West,0,4,2,1,2,0,0
0,Other,1,West,1,4,3,1,2,12,0
1,Other,1,West,1,4,2,1,3,12,0
0,Other,1,West,0,3,1,4,2,12,0
0,Other,0,West,0,4,3,3,2,0,0
0,Other,1,West,0,4,3,3,2,0,0
1,Other,1,West,1,3,3,1,3,12,0
0,Hisp,1,West,1,4,3,4,2,4,0
1,Other,1,West,0,4,2,1,3,0,0
0,Hisp,0,West,1,2,1,4,1,2,0
0,Other,1,West,0,4,1,4,2,0,0
1,Other,1,West,1,3,2,4,3,12,0
1,Other,1,West,1,4,2,1,3,12,0
0,Other,1,West,1,3,1,4,3,12,0
0,Other,1,West,1,3,3,4,2,6,0
0,Other,1,West,1,4,1,4,3,8,0
0,Other,1,West,1,3,1,1,2,10,0
0,Other,1,West,1,3,3,3,3,12,0
1,Other,1,West,0,3,2,1,2,0,0
1,Hisp,1,West,0,2,3,3,3,0,0
0,Other,1,West,1,3,2,3,2,12,0
1,Hisp,1,West,1,2,2,3,3,12,0
0,Hisp,1,West,0,2,2,4,2,8,0
1,Other,1,West,1,4,3,3,3,12,0
0,Other,1,West,1,3,2,3,3,12,0
1,Hisp,1,West,1,1,1,1,3,9,0
1,Hisp,1,West,0,1,1,4,1,0,0
0,Other,1,West,1,3,2,4,3,3,0
0,Other,1,West,1,2,1,2,3,12,0
1,Hisp,1,West,0,1,1,3,3,12,0
1,Other,1,West,1,2,1,3,1,8,0
1,Other,1,West,1,4,3,1,3,12,0
1,Other,1,West,1,1,1,4,1,0,0
1,Other,1,West,1,4,3,3,2,12,0
1,Other,1,West,1,3,3,4,1,12,0
0,Other,1,West,0,2,2,4,1,0,0
0,Other,1,West,1,3,2,4,2,12,0
1,Other,0,West,0,1,1,4,1,12,0
1,Other,1,West,1,4,3,2,3,12,0
0,Other,1,West,1,3,2,2,3,12,0
1,Other,1,West,0,4,2,1,3,6,0
1,Hisp,1,West,1,1,1,4,1,12,0
1,Other,1,West,1,3,2,1,3,12,0
0,Hisp,1,West,1,4,2,1,3,12,0
0,Other,1,West,1,4,2,1,2,6,0
1,Other,1,West,1,4,2,4,2,12,0
0,Other,1,West,1,3,1,4,2,11,0
0,Hisp,1,West,1,3,2,1,2,11,0
0,Other,1,West,1,4,1,4,2,12,0
0,Black,1,West,1,4,3,4,3,12,0
1,Other,1,West,1,3,1,4,1,6,0
1,Other,1,West,1,4,3,1,3,12,0
1,Other,1,West,1,3,2,1,3,12,0
0,Other,1,West,1,4,2,3,3,10,0
1,Other,1,West,1,4,3,1,2,12,0
0,Black,1,West,1,4,2,1,3,12,0
0,Other,1,West,1,4,3,2,3,12,0
0,Other,1,West,1,4,2,2,3,12,0
0,Other,1,West,1,4,2,1,2,12,0
1,Hisp,1,West,1,1,2,3,2,12,0
0,Other,1,West,1,3,3,1,3,12,0
1,Hisp,1,West,1,4,3,1,3,12,0
1,Hisp,1,West,0,1,2,1,3,0,0
1,Hisp,1,West,1,4,2,4,2,12,0
1,Hisp,1,West,1,3,2,4,1,3,0
1,Hisp,1,West,1,3,2,4,2,12,0
0,Hisp,1,West,0,1,1,4,1,0,0
1,Hisp,1,West,1,1,1,4,1,12,0
1,Hisp,1,West,1,2,2,1,3,12,0
1,Hisp,1,West,1,3,3,4,2,12,0
1,Hisp,1,West,0,3,2,4,2,7,0
1,Hisp,1,West,0,2,3,1,3,0,0
1,Hisp,1,West,1,4,2,3,3,12,0
0,Other,1,West,1,4,3,1,2,12,0
1,Hisp,1,West,1,4,3,3,3,12,0
1,Hisp,1,West,0,1,1,4,1,0,0
0,Hisp,1,West,1,3,2,1,3,12,0
1,Other,1,West,1,4,3,3,3,12,0
0,Other,1,West,1,4,2,4,3,12,0
0,Other,1,West,1,2,2,4,3,12,0
1,Other,1,West,1,3,2,4,2,12,0
0,Other,1,West,0,1,2,4,1,0,0
0,Other,1,West,0,1,1,4,1,0,0
1,Other,1,West,1,3,2,3,2,10,0
0,Other,1,West,1,3,2,4,2,12,0
0,Other,1,West,1,3,2,3,3,12,0
0,Other,1,West,1,4,3,1,3,12,0
0,Other,1,West,1,4,2,3,3,12,0
1,Other,1,West,1,3,3,4,2,12,0
0,Other,1,West,0,1,1,4,1,0,0
0,Other,1,West,0,4,3,1,3,0,0
1,Other,1,West,0,3,3,1,2,0,0
1,Other,1,West,1,2,2,1,3,4,0
1,Hisp,1,West,0,1,1,1,3,6,0
0,Other,1,West,1,3,2,1,2,12,0
1,Other,1,West,0,4,2,1,2,0,0
0,Other,0,West,0,3,1,4,2,0,0
1,Other,1,West,1,1,2,1,3,8,0
1,Hisp,1,West,0,3,2,1,3,4,0
1,Hisp,1,West,0,3,2,1,3,11,0
1,Hisp,1,West,0,2,1,1,2,0,0
1,Hisp,1,West,1,2,1,1,3,12,0
1,Other,0,West,0,4,3,1,3,0,0
0,Other,1,West,0,4,3,4,2,0,0
1,Hisp,1,West,0,1,2,4,1,0,0
1,Hisp,1,West,1,2,3,4,2,12,0
1,Hisp,1,West,0,3,3,1,3,0,0
0,Other,1,West,1,3,3,4,2,12,0
1,Black,1,West,1,2,2,3,3,12,0
1,Hisp,1,West,0,1,2,4,1,0,0
1,Other,1,West,1,3,2,2,2,12,0
0,Black,1,West,1,3,1,4,3,12,0
0,Other,1,West,1,3,2,3,2,12,0
0,Hisp,1,West,0,1,1,4,1,1,0
1,Hisp,0,West,1,1,1,2,3,12,0
1,Black,1,West,0,1,1,4,1,0,0
1,Hisp,1,West,0,2,2,1,3,0,0
0,Hisp,1,West,1,3,1,4,2,12,0
1,Other,0,West,0,3,1,4,3,1,0
1,Other,1,West,1,2,2,3,2,12,0
1,Hisp,1,West,0,3,2,3,2,6,0
1,Black,1,West,1,2,3,1,2,12,0
1,Hisp,1,West,0,2,2,3,2,1,0
0,Other,0,West,0,2,1,4,2,0,0
1,Other,1,South,1,3,1,2,3,9,0
0,Other,1,South,1,4,1,2,2,12,0
1,Other,1,South,0,3,3,4,1,0,0
0,Other,1,South,1,2,1,3,1,12,0
1,Other,1,South,1,3,2,2,3,12,0
0,Other,0,South,0,1,1,3,3,0,0
1,Other,1,South,1,1,2,2,3,12,0
0,Other,0,South,0,2,1,4,2,0,0
0,Other,1,South,1,2,2,1,3,12,0
1,Other,1,South,1,4,2,2,3,12,0
0,Other,1,South,1,4,2,4,3,12,0
1,Other,1,South,1,4,2,2,3,12,0
0,Other,1,South,1,3,2,4,2,11,0
0,Other,1,South,0,2,1,4,2,0,0
0,Hisp,1,South,0,3,2,2,2,11,0
1,Other,1,South,1,3,2,1,2,12,0
0,Other,1,South,1,3,2,1,3,12,0
1,Black,1,South,1,2,1,4,2,11,0
0,Other,1,South,1,4,2,1,2,12,0
0,Hisp,1,South,0,1,1,4,1,0,0
1,Other,1,South,1,4,2,1,3,11,0
